id,start,stop,search
997516806,1292,1404,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
519226697,1310,1422,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
672461898,1318,1430,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
356705041,1299,1411,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
142070085,1303,1415,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
413378510,1292,1337,Размер обеспечения исполнения контракта 5.00%
298366592,1316,1392,"Размер обеспечения исполнения контракта (договора) составляет: 0,50% от цены"
778466994,1258,1322,Размер обеспечения исполнения контракта 5018.47 Российский рубль
943590326,1247,1359,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
793760813,1310,1436,"Обеспечение исполнения настоящего Контракта установлено в размере 5,00% от цены контракта, а именно _______ рублей ____копеек."
183832943,1199,1263,Размер обеспечения исполнения контракта 1436.40 Российский рубль
150320578,1320,1453,Обеспечение исполнения настоящего Контракта устанавливается в размере 5 % (пять процентов) от начальной (максимальной) цены Контракта
172422429,1275,1397,"Обеспечение исполнения Контракта устанавливается в размере 5 % от цены, по которой заключается Контракт, что составляет __"
519969882,1295,1341,Размер обеспечения исполнения контракта 10.00%
554070687,1323,1387,Размер обеспечения исполнения контракта 8873.10 Российский рубль
566728767,1094,1218,"Обеспечение исполнения Контракта устанавливается в размере 0,5 % от цены Контракта, что составляет ___________ (____________"
228376804,1281,1327,Размер обеспечения исполнения контракта 10.00%
574654977,1303,1368,Размер обеспечения исполнения контракта 21337.65 Российский рубль
163874967,1291,1357,Размер обеспечения исполнения контракта 249915.69 Российский рубль
169366580,1282,1409,Поставщик при заключении Договора должен предоставить Заказчику обеспечение исполнения Договора в размере 1 % от цены Договора.
93168763,1303,1348,Размер обеспечения исполнения контракта 0.50%
199878267,1232,1304,Размер обеспечения исполнения контракта составляет 10% от цены контракта
789580886,1137,1198,Сумма обеспечения контракта составляет 10 % от цены контракта
627115987,1279,1391,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
765211021,1078,1195,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5 % НМЦК.
39846898,1272,1405,"Принять к сведению, что Поставщик внес обеспечение исполнения контракта в размере 10,00% от цены контракта на сумму _________ рублей."
842349649,1330,1375,Размер обеспечения исполнения контракта 2.00%
383101230,1294,1340,Размер обеспечения исполнения контракта 20.00%
896987647,1237,1342,"Обеспечение исполнения контракта установлено в размере 5,00% от цены контракта на сумму _________ рублей."
322753452,1254,1321,Размер обеспечения исполнения контракта 1049760.00 Российский рубль
805859986,1252,1403,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5% начальной (максимальной) цены контракта.
388662944,1285,1350,Размер обеспечения исполнения контракта 33353.10 Российский рубль
195864972,1297,1365,Размер обеспечения гарантийных обязательств 1597.60 Российский рубль
857626788,1301,1366,Размер обеспечения исполнения контракта 29147.99 Российский рубль
617876244,1159,1306,"Заказчиком установлено требование обеспечения исполнения контракта в размере 10 процентов от цены контракта, что составляет: ______________________"
54053621,1300,1346,Размер обеспечения исполнения контракта 10.00%
747913836,1315,1360,Размер обеспечения исполнения контракта 5.00%
248317631,1264,1391,"Размер обеспечения исполнения Контракта составляет 5% (пять процентов) от цены Контракта, что составляет ___________ ( ) рублей"
35993626,1140,1239,Размер обеспечения исполнения Контракта составляет 10 % от начальной (максимальной) цены Контракта.
986905572,1084,1180,"Размер обеспечения исполнения контракта: 5 % от цены контракта, по которой заключается контракт."
960860200,1303,1348,Размер обеспечения исполнения контракта 5.00%
725807284,1308,1354,Размер обеспечения исполнения контракта 10.00%
31717408,1208,1361,Подрядчиком представлено обеспечение исполнения Контракта в виде _______________________________ в размере 10% от начальной (максимальной) цены Контракта
249473341,1266,1331,Размер обеспечения исполнения контракта 31135.75 Российский рубль
36586516,1010,1179,"Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 10 % начальной (максимальной) цены контракта – 10 080,00 руб."
197688132,1270,1382,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
653844063,1254,1318,Размер обеспечения исполнения контракта 2250.00 Российский рубль
372544688,1297,1361,Размер обеспечения исполнения контракта 5278.00 Российский рубль
24118055,1310,1356,Размер обеспечения исполнения контракта 10.00%
969404226,1254,1299,Размер обеспечения исполнения контракта 5.00%
116675038,1249,1294,Размер обеспечения исполнения контракта 5.00%
629139713,1272,1317,Размер обеспечения исполнения контракта 0.50%
561088262,1165,1229,Размер обеспечения исполнения контракта 7525.67 Российский рубль
372457947,1299,1387,Размер обеспечения исполнения контракта: 10% от начальной (максимальной) цены Контракта.
503884846,1313,1359,Размер обеспечения исполнения контракта 10.00%
390953879,1304,1350,Размер обеспечения исполнения контракта 10.00%
295970754,1308,1353,Размер обеспечения исполнения контракта 5.00%
677244438,1278,1359,"Поставщик внес обеспечение исполнения Контракта в размере __ , что составляет 5 %"
734876966,1289,1354,Размер обеспечения исполнения контракта 20877.84 Российский рубль
879804156,1297,1362,Размер обеспечения исполнения контракта 98606.87 Российский рубль
215713905,1293,1407,Обеспечение исполнения Контракта устанавливается в размере 5 процентов от начальной (максимальной) цены контракта.
727992519,1276,1321,Размер обеспечения исполнения контракта 1.00%
794520290,1292,1399,"Обеспечение исполнения Контракта составляет 10% от цены Контракта(цены лота),что составляет_________ (_____"
25096733,1294,1413,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5 % от цены
667236536,1285,1437,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 10% начальной (максимальной) цены контракта.
276451923,1285,1404,"Размер обеспечения гарантийных обязательств 1% начальной (максимальной) цены контракта, что составляет 3 150,00 рублей."
579493161,1268,1394,Размер обеспечения исполнения контракта составляет 10 (десять) процентов начальной (максимальной) цены контракта: 8 903 рублей
754047722,1303,1348,Размер обеспечения исполнения контракта 5.00%
144476123,1272,1336,Размер обеспечения исполнения контракта 9523.60 Российский рубль
595356877,1309,1355,Размер обеспечения исполнения контракта 10.00%
158613874,1295,1340,Размер обеспечения исполнения контракта 5.00%
492468983,1277,1323,Размер обеспечения исполнения контракта 15.00%
535432861,1255,1393,"Обеспечение гарантийных обязательств устанавливается в размере 5% процентов начальной (максимальной) цены контракта, что составляет 60 787"
508536913,1288,1352,Размер обеспечения исполнения контракта 3354.78 Российский рубль
878478009,1293,1338,Размер обеспечения исполнения контракта 5.00%
827028605,1260,1324,Размер обеспечения исполнения контракта 1383.33 Российский рубль
830277483,1281,1326,Размер обеспечения исполнения контракта 5.00%
346029766,1281,1350,Размер обеспечения гарантийных обязательств 11599.38 Российский рубль
597840511,1268,1487,"таким участником обеспечения исполнения контракта в размере, превышающем в 1,5 раза размер обеспечения исполнения контракта, указанный в извещении, но не менее чем 10 процентов от начальной (максимальной) цены контракта"
37637689,1294,1468,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 10 % ( __________ рублей) начальной (максимальной) цены контракта.
789376769,1273,1438,Поставщик при заключении Договора должен предоставить Заказчику обеспечение исполнения Договора в размере ________________ рублей ____ копеек (5 % от цены Договора).
759708460,1305,1350,Размер обеспечения исполнения контракта 5.00%
250290532,1258,1323,Размер обеспечения исполнения контракта 42000.00 Российский рубль
102188539,1268,1331,Размер обеспечения исполнения контракта 505.80 Российский рубль
725359964,1090,1203,"Сумма обеспечения исполнения договора составляет 10 % цены Договора, что составляет __________ (_________________"
332159712,1296,1341,Размер обеспечения исполнения контракта 5.00%
809378495,1269,1492,"как участник предоставит обеспечение исполнения Контракта в размере, в 1,5 раза превышающем размер обеспечения исполнения Контракта, указанный в п. 7.1.1 Контракта, но не менее 10% от начальной (максимальной) цены Контракта"
12983414,1312,1377,Размер обеспечения исполнения контракта 13087.50 Российский рубль
695445317,1316,1361,Размер обеспечения исполнения контракта 5.00%
847199025,1323,1388,Размер обеспечения исполнения контракта 17120.00 Российский рубль
219862335,1272,1407,предоставляет заказчику до подписания контракта обеспечение исполнения контракта в размере 5 % начальной (максимальной) цены контракта.
67830400,1265,1329,Размер обеспечения исполнения контракта 3000.01 Российский рубль
625224946,1322,1386,Размер обеспечения исполнения контракта 3493.80 Российский рубль
186583581,1301,1347,Размер обеспечения исполнения контракта 10.00%
924171667,1305,1350,Размер обеспечения исполнения контракта 5.00%
735331751,1328,1373,Размер обеспечения исполнения контракта 5.00%
740921817,1300,1365,Размер обеспечения исполнения контракта 44927.95 Российский рубль
471135434,1308,1354,Размер обеспечения исполнения контракта 10.00%
954730651,1267,1312,Размер обеспечения исполнения контракта 5.00%
730045251,1298,1343,Размер обеспечения исполнения контракта 5.00%
914290910,1251,1361,Обеспечение исполнения Контракта установлено в размере 10 процентов от начальной (максимальной) цены контракта
57057713,1294,1360,Размер обеспечения исполнения контракта 113630.08 Российский рубль
752515832,1161,1289,Обеспечение исполнения настоящего Контракта установлено в размере 5% от цены контракта и составляет _______ (___________________
862019529,1318,1430,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
279658086,1310,1422,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
800569881,1310,1422,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
651149275,1244,1356,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
933525763,1310,1422,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
273024054,1322,1434,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
313949868,1301,1413,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
160337795,1302,1414,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
127362294,1313,1425,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
815707583,1314,1426,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
41545902,1312,1424,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
799612665,1306,1418,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
980832630,1307,1419,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
646846899,1323,1435,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
236129946,1300,1412,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
980456398,1315,1427,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
500157900,1324,1436,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
464446288,1265,1310,Размер обеспечения исполнения контракта 5.00%
799108783,1297,1361,Размер обеспечения исполнения контракта 9801.38 Российский рубль
512479659,1248,1358,Размер обеспечения исполнения контракта: 30% (тридцать процентов) от начальной (максимальной) це- ны контракта
374198009,1302,1367,Размер обеспечения исполнения контракта 32913.05 Российский рубль
469070419,1307,1352,Размер обеспечения исполнения контракта 5.00%
594654192,1290,1356,Размер обеспечения исполнения контракта 169932.36 Российский рубль
846097422,1259,1325,Размер обеспечения исполнения контракта 392456.00 Российский рубль
923237004,1237,1388,"Размер обеспечения исполнения Контракта составляет ______________рублей, что составляет 5 процентов от цены контракта, по которой заключается Контракт."
253922367,1313,1359,Размер обеспечения исполнения контракта 10.00%
174917883,1236,1392,"Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 10,00 % начальной (максимальной) цены Контракта."
627430961,1280,1326,Размер обеспечения исполнения контракта 10.00%
896174575,1303,1368,Размер обеспечения исполнения контракта 43302.42 Российский рубль
318806974,1248,1368,Размер обеспечения исполнения Контракта составляет 5 процентов цены Контракта в размере __________ (________) рублей ___
91457337,1309,1462,"Размер обеспечения исполнения Контракта составляет ______________рублей, что составляет 5 % процентов от цены контракта, по которой заключается Контракт."
621939083,1243,1338,Размер обеспечения исполнения Контракта составляет 10 % начальной (максимальной) цены контракта
948200319,1215,1336,"Обеспечение исполнения Контракта устанавливается в размере 5% цены контракта, что составляет ____________ (_____________)"
778484804,1296,1341,Размер обеспечения исполнения контракта 5.00%
859637373,1273,1319,Размер обеспечения исполнения контракта 10.00%
898616087,1293,1339,Размер обеспечения исполнения контракта 30.00%
159361488,1304,1350,Размер обеспечения исполнения контракта 10.00%
879756144,1292,1356,Размер обеспечения исполнения контракта 3300.34 Российский рубль
144556409,1122,1205,Размер обеспечения исполнения контракта 5 % начальной (максимальной) цены контракта
130731579,1122,1205,Размер обеспечения исполнения контракта 5 % начальной (максимальной) цены контракта
6832031,1341,1471,"Размер обеспечения исполнения Контракта устанавливается в размере 10 % от цены, по которой заключается Контракт и составляет______"
77339483,1285,1330,Размер обеспечения исполнения контракта 5.00%
870768293,1066,1126,Размер обеспечения исполнения контракта 5% от цены контракта
470746447,1062,1122,Размер обеспечения исполнения контракта 5% от цены контракта
409976697,1269,1381,Обеспечение исполнения настоящего Контракта установлено в размере 10% от начальной (максимальной) цены контракта
955102689,1247,1310,Размер обеспечения исполнения контракта: 5 % от цены контракта.
129751081,1254,1393,Обеспечение исполнения настоящего Контракта устанавливается в размере 1 процент от начальной (максимальной) цены Контракта и составляет ___
683575191,1322,1424,Обеспечение исполнения контракта устанавливается в размере 5% начальной (максимальной) цены контракта.
886262142,1259,1421,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 10 (Десять) % начальной (максимальной) цены контракта.
967166312,1215,1383,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5 % начальной (максимальной) цены государственного контракта
981282799,1289,1354,Размер обеспечения исполнения контракта 24578.28 Российский рубль
80460054,1159,1274,Обеспечение исполнения Контракта устанавливается в размере 10 процентов от начальной (максимальной) цены контракта.
901877956,1163,1247,"Размер обеспечения исполнения контракта 5 % от цены, по которой заключается контракт"
870333009,1300,1364,Размер обеспечения исполнения контракта 3851.21 Российский рубль
547624347,1247,1350,Обеспечение исполнения Контракта устанавливается в размере 20% от максимального значения цены Контракта
483403373,1227,1358,"Заказчиком установлено требование обеспечения исполнения Контракта - 5 % от цены Контракта, что составляет ​​​​​​​​​​​_____________"
775523466,1265,1312,Размер обеспечения исполнения контракта 100.00%
30929323,1304,1368,Размер обеспечения исполнения контракта 8900.00 Российский рубль
948795218,1258,1387,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 10% от цены Контракт.
479094225,1302,1366,Размер обеспечения исполнения контракта 1635.00 Российский рубль
803632794,1281,1327,Размер обеспечения исполнения контракта 10.00%
88183776,1279,1344,Размер обеспечения исполнения контракта 54517.53 Российский рубль
406174255,1293,1358,Размер обеспечения исполнения контракта 17389.85 Российский рубль
622100862,1258,1324,Размер обеспечения исполнения контракта 120711.45 Российский рубль
759584318,1322,1367,Размер обеспечения исполнения контракта 0.50%
569747628,1310,1356,Размер обеспечения исполнения контракта 10.00%
184852829,1255,1370,Размер обеспечения исполнения государственного контракта составляет 30 % от начальной (максимальной) цены контракта
235281695,1312,1358,Размер обеспечения исполнения контракта 10.00%
491209765,1124,1200,размер обеспечения исполнения контракта - 5 (пяти) процентов цены контракта.
26269717,1048,1203,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 10 % от начальной (максимальной) цены контракта
1516006,1277,1420,"Размер обеспечения исполнения Контракта составляет ______________рублей, что составляет 5 процентов от начальной (максимальной) цены Контракта."
95469812,1271,1338,Размер обеспечения исполнения контракта 8536320.00 Российский рубль
896797729,1258,1304,Размер обеспечения исполнения контракта 10.00%
413874393,1256,1345,Обеспечение исполнения Контракта устанавливается в размере 5 процентов от Цены Контракта.
637457348,1273,1318,Размер обеспечения исполнения контракта 5.00%
262135762,1288,1333,Размер обеспечения исполнения контракта 5.00%
105556507,1278,1360,Обеспечение исполнения Контракта устанавливается в размере - 1 % от цены Контракта
953371296,1152,1224,Размер обеспечения исполнения Контракта составляет 5% от цены Контракта.
235415862,1270,1371,"Размер обеспечения исполнения контракта по закупке: 5,00 % от начальной (максимальной) цены контракта"
791651050,1308,1354,Размер обеспечения исполнения контракта 10.00%
334674371,1261,1367,Размер обеспечения исполнения Контракта составляет 30 % от цены Контракта указанной в пункте 2.1 Контракта
495359586,1257,1379,"Исполнитель внес обеспечение исполнения Контракта в размере ___ , что составляет 5 % максимального значения цены Контракта"
568531583,1226,1355,"Обеспечение исполнения настоящего Контракта установлено в размере 10% от цены, по которой заключается контракт и составляет _____"
516080375,1311,1356,Размер обеспечения исполнения контракта 5.00%
56810761,1332,1442,Размер обеспечения гарантийных обязательств по контракту предоставляется в размере _______ руб. (1 % от НМЦК).
344909422,1106,1223,"Обеспечение исполнения настоящего Контракта установлено в размере 10,00 % от начальной (максимальной) цены Контракта."
810171461,1312,1429,"Обеспечение исполнения настоящего Контракта установлено в размере 10,00 % от начальной (максимальной) цены Контракта."
846236599,1143,1273,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5 % от цены Контракта.
831665644,1273,1318,Размер обеспечения исполнения контракта 5.00%
181608150,1309,1421,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
556600530,1296,1408,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
110745522,1310,1422,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
85209212,1307,1419,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
710821619,1303,1415,"Размер обеспечение исполнения контракта устанавливается от 0,5 % до 30 % начальной (максимальной) цены контракта"
865647187,1296,1434,"Обеспечение исполнения настоящего Контракта установлено в размере 522,66, эквивалентном 0,50 % от начальной (максимальной) цены контракта."
428208772,1261,1326,Размер обеспечения исполнения контракта 23466.67 Российский рубль
461667646,1202,1247,Размер обеспечения исполнения контракта 5.00%
88150331,1321,1421,Обеспечение исполнения Контракта устанавливается в размере 10 % (десять процентов) от цены контракта
41342199,1288,1425,"Поставщик внес обеспечение исполнения Контракта в размере __ , что составляет 5 % Цены Контракта в форме безотзывной независимой гарантии"
498454776,1257,1350,Размер обеспечения исполнения Государственного контракта 10 % от цены контракта – ___ рублей.
522623296,1227,1351,Обеспечение исполнения настоящего Контракта установлено в размере 10% от начальной (максимальной) цены контракта (цены лота)
601205059,1266,1420,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5.00% от максимального значения цены контракта
700583871,1295,1341,Размер обеспечения исполнения контракта 10.00%
906322760,1284,1330,Размер обеспечения исполнения контракта 10.00%
362057487,1107,1170,Размер обеспечения исполнения контракта: 10% от цены контракта.
302146546,1268,1313,Размер обеспечения исполнения контракта 5.00%
46522777,1289,1442,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере _________________руб. 10 % от цены контракта.
833352743,1303,1430,Обеспечение исполнения настоящего Контракта установлено в размере 5 (пять) процентов от начальной (максимальной) цены контракта
158999776,1288,1439,Поставщик при заключении Контракта должен предоставить Заказчику обеспечение исполнения Контракта в размере 5 % начальной (максимальной) цены Контракта
24518930,1268,1482,"обеспечения исполнения контракта в размере, превышающем в 1,5 раза размер обеспечения исполнения контракта, указанный в извещении, но не менее чем 10 процентов от начальной (максимальной) цены контракта или от цены"
891050431,1280,1347,Размер обеспечения исполнения контракта 3240000.00 Российский рубль
805347230,1109,1216,"Размер обеспечения исполнения контракта на участие в аукционе в электронной форме 5,00 % от цены контракта."
627138842,1289,1335,Размер обеспечения исполнения контракта 10.00%
550453993,1291,1412,Обеспечение исполнения Контракта предоставляется в размере 10 % начальной (максимальной) цены государственного контракта.
60428510,1302,1366,Размер обеспечения исполнения контракта 6629.59 Российский рубль
460687032,1264,1413,Обеспечение исполнения настоящего Контракта устанавливается в размере 10 (десяти) процентов от цены НМЦК и составляет __________ (___________) руб. _
